product_id,name,category,subcategory,unit_price,cost,in_stock_units
52,Still Cookware,Home & Kitchen,Cookware,12.48,6.91,248
53,Student Decor,Home & Kitchen,Decor,192.38,115.82,369
54,We Decor,Home & Kitchen,Decor,679.71,371.36,466
55,Others Cookware,Home & Kitchen,Cookware,395.52,222.82,207
56,Heavy Appliance,Home & Kitchen,Appliances,186.07,83.65,120
57,Try Cookware,Home & Kitchen,Cookware,510.39,229.78,497
58,Artist Appliance,Home & Kitchen,Appliances,87.55,52.45,229
59,Action Furniture,Home & Kitchen,Furniture,287.12,185.42,69
60,Coach Furniture,Home & Kitchen,Furniture,148.68,113.95,375
61,Trade Appliance,Home & Kitchen,Appliances,512.76,233.12,229
62,Key Furniture,Home & Kitchen,Furniture,244.7,95.18,411
63,Song Appliance,Home & Kitchen,Appliances,430.39,178.68,130
64,Task Appliance,Home & Kitchen,Appliances,29.71,12.14,159
65,Scene Appliance,Home & Kitchen,Appliances,460.75,176.35,229
66,Wide Cookware,Home & Kitchen,Cookware,447.18,201.12,170
67,Apply Furniture,Home & Kitchen,Furniture,355.8,151.07,447
68,Bar Appliance,Home & Kitchen,Appliances,133.13,69.85,229
69,Front Decor,Home & Kitchen,Decor,274.11,163.83,363
70,Bring Furniture,Home & Kitchen,Furniture,402.01,153.64,229
71,Green Furniture,Home & Kitchen,Furniture,362.18,259.25,229
72,Difficult Cookware,Home & Kitchen,Cookware,286.08,157.38,142
73,Travel Appliance,Home & Kitchen,Appliances,346.78,176.21,485
74,Serve Appliance,Home & Kitchen,Appliances,171.2,104.21,434
75,Wonder Decor,Home & Kitchen,Decor,299.66,192.98,38
76,Cover Furniture,Home & Kitchen,Furniture,938.11,338.82,21
77,What Furniture,Home & Kitchen,Furniture,103.53,38.72,88
78,Unit Cookware,Home & Kitchen,Cookware,213.82,102.41,439
79,Hand Furniture,Home & Kitchen,Furniture,308.93,119.38,492
80,Success Furniture,Home & Kitchen,Furniture,166.05,93.95,317
81,Real Furniture,Home & Kitchen,Furniture,779.01,349.11,401
82,Rich Furniture,Home & Kitchen,Furniture,235.49,117.43,97
83,Rich Furniture,Home & Kitchen,Furniture,243.1,96.79,422
84,Per Cookware,Home & Kitchen,Cookware,43.2,29.75,439
85,Event Furniture,Home & Kitchen,Furniture,530.7,214.98,39
86,Less Decor,Home & Kitchen,Decor,443.6,290.11,263
87,Property Furniture,Home & Kitchen,Furniture,564.0,315.4,454
88,Voice Decor,Home & Kitchen,Decor,275.21,206.76,308
89,Prepare Cookware,Home & Kitchen,Cookware,247.06,159.34,78
90,Group Furniture,Home & Kitchen,Furniture,219.22,99.04,393
91,Almost Decor,Home & Kitchen,Decor,369.86,186.57,268
92,Left Furniture,Home & Kitchen,Furniture,148.78,67.35,449
93,Fear Appliance,Home & Kitchen,Appliances,98.57,56.95,398
94,Animal Appliance,Home & Kitchen,Appliances,514.73,271.98,229
95,They Appliance,Home & Kitchen,Appliances,711.68,355.85,154
96,Mind Decor,Home & Kitchen,Decor,682.77,315.19,229
97,Black Appliance,Home & Kitchen,Appliances,628.48,301.4,465
98,Southern Appliance,Home & Kitchen,Appliances,71.96,53.12,57
99,Level Decor,Home & Kitchen,Decor,496.87,337.25,213
100,Sea Appliance,Home & Kitchen,Appliances,283.25,152.25,350
101,Cut Women,Apparel,Women,488.42,300.87,411
102,Three Women,Apparel,Women,396.98,181.63,325
103,Carry Women,Apparel,Women,456.96,260.68,166
104,Major Men,Apparel,Men,957.31,360.5,498
105,Physical Footwear,Apparel,Footwear,375.87,188.14,4
106,Oil Footwear,Apparel,Footwear,150.04,54.77,473
107,Appear Women,Apparel,Women,963.92,359.12,229
108,Word Men,Apparel,Men,378.75,142.17,49
109,Health Footwear,Apparel,Footwear,59.23,34.02,229
110,Section Footwear,Apparel,Footwear,52.92,19.09,73
111,Situation Men,Apparel,Men,227.31,142.94,311
112,Performance Women,Apparel,Women,10.73,7.39,378
113,Represent Kid,Apparel,Kids,55.28,26.78,357
114,History Kid,Apparel,Kids,23.97,12.58,220
115,Quickly Footwear,Apparel,Footwear,251.88,140.73,80
116,Ahead Men,Apparel,Men,862.37,353.76,314
117,White Men,Apparel,Men,567.69,267.53,314
118,During Men,Apparel,Men,611.17,399.46,82
119,Reflect Kid,Apparel,Kids,519.85,265.26,268
120,Society Kid,Apparel,Kids,146.96,60.15,220
121,Themselves Footwear,Apparel,Footwear,183.38,112.48,229
122,Attorney Men,Apparel,Men,607.34,381.56,229
123,Anything Footwear,Apparel,Footwear,840.94,320.39,384
124,Act Kid,Apparel,Kids,640.23,396.2,229
125,Increase Women,Apparel,Women,584.13,343.96,276
126,Field Men,Apparel,Men,240.49,89.98,178
127,Research Footwear,Apparel,Footwear,111.4,48.35,6
128,Pretty Kid,Apparel,Kids,686.4,247.87,296
129,Direction Kid,Apparel,Kids,492.47,232.09,229
130,Fly Kid,Apparel,Kids,454.11,253.72,154
131,Spring Kid,Apparel,Kids,797.13,323.06,128
132,Set Men,Apparel,Men,299.38,175.25,306
133,Actually Kid,Apparel,Kids,479.79,201.05,284
134,Democrat Kid,Apparel,Kids,541.79,321.26,408
135,Road Women,Apparel,Women,550.83,338.26,106
136,Watch Footwear,Apparel,Footwear,974.39,362.35,458
137,Particular Kid,Apparel,Kids,316.92,166.82,259
138,By Kid,Apparel,Kids,54.35,35.21,457
139,About Men,Apparel,Men,835.42,310.66,249
140,Fall Footwear,Apparel,Footwear,500.02,326.58,229
141,Happen Men,Apparel,Men,251.45,135.51,203
142,Card Footwear,Apparel,Footwear,717.32,352.01,126
143,Writer Women,Apparel,Women,421.93,163.91,253
144,Almost Women,Apparel,Women,299.76,136.44,183
145,Unit Men,Apparel,Men,61.15,42.96,435
146,Difficult Women,Apparel,Women,443.54,217.53,128
147,Later Women,Apparel,Women,517.03,396.76,388
148,Answer Women,Apparel,Women,304.48,118.69,269
149,Move Kid,Apparel,Kids,382.77,267.43,447
150,Population Kid,Apparel,Kids,182.12,134.07,229
151,Say Fitnes,Sports & Outdoors,Fitness,625.19,246.9,383
152,Soon Camping,Sports & Outdoors,Camping,910.86,359.13,160
153,Feel Cycling,Sports & Outdoors,Cycling,530.38,238.57,182
154,Attack Cycling,Sports & Outdoors,Cycling,115.68,58.03,334
155,Away Camping,Sports & Outdoors,Camping,607.36,258.46,218
156,Occur Camping,Sports & Outdoors,Camping,372.8,276.55,266
157,First Camping,Sports & Outdoors,Camping,701.5,278.88,452
158,Produce Cycling,Sports & Outdoors,Cycling,282.03,119.58,331
159,Positive Camping,Sports & Outdoors,Camping,818.3,318.32,71
160,Where Camping,Sports & Outdoors,Camping,150.1,98.55,356
161,Between Fitnes,Sports & Outdoors,Fitness,68.77,26.32,329
162,Do Team Sport,Sports & Outdoors,Team Sports,126.53,53.07,307
163,Ready Cycling,Sports & Outdoors,Cycling,598.68,276.03,408
164,Great Team Sport,Sports & Outdoors,Team Sports,446.58,165.72,443
165,Up Cycling,Sports & Outdoors,Cycling,605.76,375.16,271
166,Power Fitnes,Sports & Outdoors,Fitness,278.38,147.59,212
167,Practice Fitnes,Sports & Outdoors,Fitness,39.88,15.46,229
168,Wait Camping,Sports & Outdoors,Camping,649.6,325.57,140
169,Contain Cycling,Sports & Outdoors,Cycling,458.05,181.5,229
170,Offer Team Sport,Sports & Outdoors,Team Sports,723.66,264.39,229
171,Her Camping,Sports & Outdoors,Camping,14.73,5.95,229
172,Half Team Sport,Sports & Outdoors,Team Sports,104.56,40.01,91
173,Soon Fitnes,Sports & Outdoors,Fitness,587.7,354.03,495
174,Social Cycling,Sports & Outdoors,Cycling,864.84,363.2,37
175,Either Fitnes,Sports & Outdoors,Fitness,600.57,253.72,41
176,Where Cycling,Sports & Outdoors,Cycling,199.39,136.86,229
177,Hour Camping,Sports & Outdoors,Camping,156.12,86.79,394
178,Rich Cycling,Sports & Outdoors,Cycling,563.12,213.76,74
179,Our Camping,Sports & Outdoors,Camping,478.65,175.67,50
180,Grow Team Sport,Sports & Outdoors,Team Sports,843.45,385.76,454
181,Choice Team Sport,Sports & Outdoors,Team Sports,37.18,20.67,38
182,Answer Fitnes,Sports & Outdoors,Fitness,500.91,191.38,457
183,High Camping,Sports & Outdoors,Camping,942.96,369.47,229
184,Important Cycling,Sports & Outdoors,Cycling,278.4,122.21,229
185,Avoid Camping,Sports & Outdoors,Camping,582.19,268.37,199
186,Along Fitnes,Sports & Outdoors,Fitness,290.81,213.7,364
187,Artist Team Sport,Sports & Outdoors,Team Sports,127.57,97.88,227
188,Involve Fitnes,Sports & Outdoors,Fitness,550.0,321.55,129
189,Message Team Sport,Sports & Outdoors,Team Sports,24.7,9.49,229
190,Over Cycling,Sports & Outdoors,Cycling,707.42,308.25,216
191,Yeah Camping,Sports & Outdoors,Camping,457.7,215.03,347
192,Participant Camping,Sports & Outdoors,Camping,697.79,370.47,345
193,Add Camping,Sports & Outdoors,Camping,351.11,219.39,106
194,Quickly Fitnes,Sports & Outdoors,Fitness,222.76,133.52,229
195,After Fitnes,Sports & Outdoors,Fitness,132.26,54.56,340
196,Information Cycling,Sports & Outdoors,Cycling,518.75,269.71,30
197,Own Camping,Sports & Outdoors,Camping,538.79,292.48,74
198,Later Cycling,Sports & Outdoors,Cycling,266.02,125.87,134
199,Yes Fitnes,Sports & Outdoors,Fitness,51.0,33.26,62
200,White Fitnes,Sports & Outdoors,Fitness,533.81,381.57,55
201,When Supplement,Beauty & Health,Supplements,567.68,386.16,52
202,Thank Skincare,Beauty & Health,Skincare,514.85,201.68,75
203,Officer Skincare,Beauty & Health,Skincare,431.09,194.05,229
204,Artist Supplement,Beauty & Health,Supplements,578.66,316.23,181
205,Back Haircare,Beauty & Health,Haircare,367.74,219.49,401
206,Office Skincare,Beauty & Health,Skincare,612.54,396.87,394
207,Impact Haircare,Beauty & Health,Haircare,518.71,193.04,9
208,Series Skincare,Beauty & Health,Skincare,260.07,138.05,61
209,Leg Skincare,Beauty & Health,Skincare,797.01,323.49,140
210,Me Haircare,Beauty & Health,Haircare,177.09,78.49,234
211,Everyone Skincare,Beauty & Health,Skincare,943.9,390.53,235
212,Another Personal Care,Beauty & Health,Personal Care,445.65,224.31,229
213,Star Supplement,Beauty & Health,Supplements,111.83,82.05,359
214,Safe Skincare,Beauty & Health,Skincare,304.46,229.66,496
215,Want Supplement,Beauty & Health,Supplements,501.1,260.54,229
216,Effort Supplement,Beauty & Health,Supplements,492.92,345.22,11
217,Measure Skincare,Beauty & Health,Skincare,479.18,238.38,90
218,Month Supplement,Beauty & Health,Supplements,127.17,50.54,455
219,Example Supplement,Beauty & Health,Supplements,211.99,100.68,283
220,Run Skincare,Beauty & Health,Skincare,475.38,343.89,207
221,Response Haircare,Beauty & Health,Haircare,704.75,279.27,292
222,Car Supplement,Beauty & Health,Supplements,264.61,137.96,3
223,Sense Supplement,Beauty & Health,Supplements,57.85,32.82,492
224,Voice Skincare,Beauty & Health,Skincare,23.12,13.38,49
225,Discover Skincare,Beauty & Health,Skincare,939.11,348.19,129
226,Recognize Skincare,Beauty & Health,Skincare,211.98,146.93,221
227,Daughter Supplement,Beauty & Health,Supplements,192.19,129.37,301
228,Over Skincare,Beauty & Health,Skincare,162.75,94.91,467
229,Thus Skincare,Beauty & Health,Skincare,690.53,325.2,383
230,Fight Supplement,Beauty & Health,Supplements,829.69,362.81,261
231,Food Personal Care,Beauty & Health,Personal Care,410.59,301.66,44
232,Partner Personal Care,Beauty & Health,Personal Care,71.83,39.91,59
233,Say Haircare,Beauty & Health,Haircare,82.49,30.29,106
234,House Skincare,Beauty & Health,Skincare,486.72,356.89,422
235,Training Personal Care,Beauty & Health,Personal Care,370.09,218.16,477
236,Down Haircare,Beauty & Health,Haircare,55.21,35.56,218
237,Against Skincare,Beauty & Health,Skincare,335.88,253.44,229
238,Able Haircare,Beauty & Health,Haircare,192.17,70.24,35
239,Increase Haircare,Beauty & Health,Haircare,517.8,395.89,386
240,Military Supplement,Beauty & Health,Supplements,555.47,231.95,223
241,Low Personal Care,Beauty & Health,Personal Care,306.12,220.38,398
242,Huge Personal Care,Beauty & Health,Personal Care,166.1,79.41,281
243,Son Personal Care,Beauty & Health,Personal Care,746.93,389.57,467
244,Thus Supplement,Beauty & Health,Supplements,263.25,101.87,58
245,Throughout Personal Care,Beauty & Health,Personal Care,1160.3575,104.23,354
246,Close Personal Care,Beauty & Health,Personal Care,574.84,237.52,339
247,Good Haircare,Beauty & Health,Haircare,708.26,326.34,359
248,Generation Haircare,Beauty & Health,Haircare,75.61,55.58,137
249,Across Skincare,Beauty & Health,Skincare,682.27,293.31,129
250,Discover Haircare,Beauty & Health,Haircare,1160.3575,112.79,245
251,College Fiction,Books & Media,Fiction,439.11,332.5,34
252,Property Non-Fiction,Books & Media,Non-Fiction,274.43,180.49,443
253,Happen Fiction,Books & Media,Fiction,621.95,347.91,232
254,Them Children,Books & Media,Children,286.86,179.03,261
255,Activity Non-Fiction,Books & Media,Non-Fiction,249.2,157.52,198
256,Baby Non-Fiction,Books & Media,Non-Fiction,537.93,197.5,114
257,Minute Children,Books & Media,Children,8.4,4.21,434
258,Difference Fiction,Books & Media,Fiction,626.09,300.08,413
259,Hundred Fiction,Books & Media,Fiction,533.22,352.88,229
260,Form Media,Books & Media,Media,619.66,308.31,185
261,Especially Fiction,Books & Media,Fiction,429.63,235.83,54
262,Case Media,Books & Media,Media,214.85,82.77,229
263,Way Media,Books & Media,Media,222.36,110.05,229
264,Include Non-Fiction,Books & Media,Non-Fiction,16.2,9.81,91
265,Create Non-Fiction,Books & Media,Non-Fiction,839.64,394.64,321
266,Feeling Non-Fiction,Books & Media,Non-Fiction,110.99,46.6,198
267,Born Fiction,Books & Media,Fiction,253.7,110.91,371
268,Machine Media,Books & Media,Media,23.79,11.06,214
269,Note Non-Fiction,Books & Media,Non-Fiction,603.81,359.81,404
270,Environmental Non-Fiction,Books & Media,Non-Fiction,1160.3575,252.13,16
271,Create Children,Books & Media,Children,756.22,308.09,283
272,Pass Children,Books & Media,Children,5.69,3.58,422
273,Ask Children,Books & Media,Children,560.24,289.19,85
274,Product Children,Books & Media,Children,528.78,235.72,27
275,Culture Children,Books & Media,Children,82.62,41.15,221
276,Recently Non-Fiction,Books & Media,Non-Fiction,341.21,131.91,370
277,Your Non-Fiction,Books & Media,Non-Fiction,437.32,214.4,229
278,Page Fiction,Books & Media,Fiction,402.71,276.82,176
279,Scientist Non-Fiction,Books & Media,Non-Fiction,226.81,166.06,209
280,Start Fiction,Books & Media,Fiction,121.8,43.74,336
281,Citizen Non-Fiction,Books & Media,Non-Fiction,146.98,90.63,59
282,Discuss Fiction,Books & Media,Fiction,280.61,104.81,229
283,Strategy Children,Books & Media,Children,680.49,258.28,194
284,Do Fiction,Books & Media,Fiction,228.9,138.3,303
285,Foot Children,Books & Media,Children,667.54,317.07,124
286,Give Non-Fiction,Books & Media,Non-Fiction,47.93,20.54,157
287,Total Fiction,Books & Media,Fiction,754.14,370.71,336
288,Beyond Media,Books & Media,Media,515.26,355.32,161
289,Available Non-Fiction,Books & Media,Non-Fiction,635.36,370.15,28
290,Administration Children,Books & Media,Children,908.96,374.06,97
291,Since Non-Fiction,Books & Media,Non-Fiction,19.78,13.68,281
292,Store Fiction,Books & Media,Fiction,425.68,267.92,196
293,Almost Non-Fiction,Books & Media,Non-Fiction,709.48,295.78,305
294,Owner Non-Fiction,Books & Media,Non-Fiction,141.94,81.46,229
295,Among Media,Books & Media,Media,139.02,92.57,365
296,Question Non-Fiction,Books & Media,Non-Fiction,361.73,148.56,229
297,Want Media,Books & Media,Media,89.43,64.11,423
298,Wait Media,Books & Media,Media,238.39,153.1,281
299,Know Non-Fiction,Books & Media,Non-Fiction,725.08,274.72,85
300,Those Non-Fiction,Books & Media,Non-Fiction,133.29,87.08,0
