customer_id,recency,frequency,monetary,R_score,F_score,M_score,rfm_score,rfm_segment
116,609,1,1366.46,2,2,2,6,At Risk
117,30,2,814.9169999999999,6,3,1,10,Loyal Customers
118,604,4,4204.427,2,5,4,11,Loyal Customers
119,161,2,1280.6275,4,3,2,9,Loyal Customers
120,533,2,2329.725,2,3,3,8,Potential Loyalists
121,39,4,5428.728,6,5,5,16,Champions
122,452,2,3466.4700000000003,3,3,4,10,Loyal Customers
123,270,5,8045.7,3,5,5,13,Champions
124,219,3,3161.4255000000003,4,4,4,12,Champions
125,164,2,1275.08,4,3,2,9,Loyal Customers
126,483,5,10904.68,2,5,5,12,Champions
127,125,3,1809.5839999999998,5,4,2,11,Loyal Customers
128,1459,2,2905.071,1,3,3,7,Potential Loyalists
129,224,3,114.49300000000011,4,4,1,9,Loyal Customers
130,449,2,2892.9440000000004,3,3,3,9,Loyal Customers
131,41,3,8847.9995,6,4,5,15,Champions
132,164,4,5952.331,4,5,5,14,Champions
133,447,5,5027.4349999999995,3,5,5,13,Champions
134,1039,1,1716.28,2,2,2,6,At Risk
135,300,2,1280.395,3,3,2,8,Potential Loyalists
136,903,1,598.378,2,2,1,5,At Risk
137,172,3,5579.486,4,4,5,13,Champions
138,451,1,932.57,3,2,1,6,At Risk
139,308,2,1750.8709999999999,3,3,2,8,Potential Loyalists
140,338,3,4793.1615,3,4,5,12,Champions
141,498,3,6753.825,2,4,5,11,Loyal Customers
142,37,4,5365.8685,6,5,5,16,Champions
143,1459,0,0.0,1,1,1,3,Lost Customers
144,119,1,493.26750000000004,5,2,1,8,Potential Loyalists
145,48,4,5377.116,6,5,5,16,Champions
146,985,1,311.746,2,2,1,5,At Risk
147,79,2,1770.6934999999999,5,3,2,10,Loyal Customers
148,47,2,618.732,6,3,1,10,Loyal Customers
149,125,3,2277.6215,5,4,3,12,Champions
150,526,2,2342.2725,2,3,3,8,Potential Loyalists
151,336,1,902.9939999999999,3,2,1,6,At Risk
152,36,6,4119.5035,6,5,4,15,Champions
153,816,1,1545.4005,2,2,2,6,At Risk
154,18,4,3276.4919999999997,6,5,4,15,Champions
155,749,2,2877.321,2,3,3,8,Potential Loyalists
156,2,4,2855.6949999999997,6,5,3,14,Champions
157,229,2,1829.83,4,3,2,9,Loyal Customers
158,1459,0,0.0,1,1,1,3,Lost Customers
159,258,2,877.253,4,3,1,8,Potential Loyalists
160,64,4,2785.855,5,5,3,13,Champions
161,107,1,855.2940000000001,5,2,1,8,Potential Loyalists
162,14,4,8142.38,6,5,5,16,Champions
163,438,3,3639.9625,3,4,4,11,Loyal Customers
164,351,3,7236.599,3,4,5,12,Champions
165,183,2,680.835,4,3,1,8,Potential Loyalists
166,185,2,2188.8065,4,3,3,10,Loyal Customers
167,32,4,5629.032,6,5,5,16,Champions
168,181,2,786.088,4,3,1,8,Potential Loyalists
169,583,2,2420.9595,2,3,3,8,Potential Loyalists
170,243,1,697.79,4,2,1,7,Potential Loyalists
171,201,2,722.794,4,3,1,8,Potential Loyalists
172,1459,0,0.0,1,1,1,3,Lost Customers
173,385,1,393.754,3,2,1,6,At Risk
174,1459,0,0.0,1,1,1,3,Lost Customers
175,277,5,7443.32,3,5,5,13,Champions
176,466,3,1673.224,3,4,2,9,Loyal Customers
177,1459,0,0.0,1,1,1,3,Lost Customers
178,95,5,4818.3985,5,5,5,15,Champions
179,28,9,8507.381,6,5,5,16,Champions
180,522,1,967.038,2,2,1,5,At Risk
181,563,1,355.8,2,2,1,5,At Risk
182,59,4,2135.518,6,5,3,14,Champions
183,978,1,919.593,2,2,1,5,At Risk
184,239,2,3138.21,4,3,3,10,Loyal Customers
185,428,2,1694.114,3,3,2,8,Potential Loyalists
186,26,3,2378.4045,6,4,3,13,Champions
187,425,2,3849.7915,3,3,4,10,Loyal Customers
188,583,2,1121.868,2,3,1,6,At Risk
189,218,3,2304.7245000000003,4,4,3,11,Loyal Customers
190,77,4,3435.656,5,5,4,14,Champions
191,430,1,1522.322,3,2,2,7,Potential Loyalists
192,236,2,4140.034,4,3,4,11,Loyal Customers
193,139,2,2027.339,5,3,2,10,Loyal Customers
194,959,1,289.23699999999997,2,2,1,5,At Risk
195,85,5,2703.8134999999997,5,5,3,13,Champions
196,1459,0,0.0,1,1,1,3,Lost Customers
197,445,3,3724.17,3,4,4,11,Loyal Customers
198,456,2,1940.019,3,3,2,8,Potential Loyalists
199,1459,0,0.0,1,1,1,3,Lost Customers
200,3,2,2318.17,6,3,3,12,Champions
201,37,2,1023.592,6,3,1,10,Loyal Customers
202,12,4,5217.375,6,5,5,16,Champions
203,19,2,4684.743,6,3,5,14,Champions
204,1459,2,3943.24875,1,3,4,8,Potential Loyalists
205,44,3,3265.5735,6,4,4,14,Champions
206,149,1,638.37,4,2,1,7,Potential Loyalists
207,221,2,6414.505375000001,4,3,5,12,Champions
208,30,3,1579.4895,6,4,2,12,Champions
209,9,3,4274.2275,6,4,4,14,Champions
210,497,3,2703.669,2,4,3,9,Loyal Customers
211,257,3,5739.472,4,4,5,13,Champions
212,338,4,4012.835,3,5,4,12,Champions
213,180,2,349.06,4,3,1,8,Potential Loyalists
214,187,1,1552.0,4,2,2,8,Potential Loyalists
215,446,3,4789.381,3,4,5,12,Champions
216,38,2,1991.7800000000002,6,3,2,11,Loyal Customers
217,296,1,514.85,3,2,1,6,At Risk
218,610,1,751.6735,2,2,1,5,At Risk
219,256,3,2360.916,4,4,3,11,Loyal Customers
220,515,5,7929.914,2,5,5,12,Champions
221,1021,1,740.18,2,2,1,5,At Risk
222,61,4,2634.1675,5,5,3,13,Champions
223,710,1,206.01000000000002,2,2,1,5,At Risk
224,1459,0,0.0,1,1,1,3,Lost Customers
225,138,2,2357.4165000000003,5,3,3,11,Loyal Customers
226,127,3,3541.052,5,4,4,13,Champions
227,172,1,798.46,4,2,1,7,Potential Loyalists
228,211,5,4578.7395,4,5,5,14,Champions
229,54,8,8852.935625,6,5,5,16,Champions
230,217,3,393.6014999999999,4,4,1,9,Loyal Customers
231,426,2,554.49,3,3,1,7,Potential Loyalists
232,78,3,3657.9825,5,4,4,13,Champions
233,1459,0,0.0,1,1,1,3,Lost Customers
234,745,1,440.12999999999994,2,2,1,5,At Risk
235,316,2,3350.727,3,3,4,10,Loyal Customers
236,499,3,1235.7725,2,4,2,8,Potential Loyalists
237,165,4,4012.9475,4,5,4,13,Champions
238,999,1,970.345,2,2,1,5,At Risk
239,577,2,3762.0805,2,3,4,9,Loyal Customers
240,28,4,8840.787,6,5,5,16,Champions
241,587,1,275.21,2,2,1,5,At Risk
242,183,1,2112.5765,4,2,3,9,Loyal Customers
243,186,4,6376.746,4,5,5,14,Champions
244,44,2,3898.679,6,3,4,13,Champions
245,8,2,1155.1725000000001,6,3,1,10,Loyal Customers
246,65,3,3300.967,5,4,4,13,Champions
247,727,2,838.128,2,3,1,6,At Risk
248,173,3,3327.2419999999997,4,4,4,12,Champions
249,522,3,400.4925,2,4,1,7,Potential Loyalists
250,468,3,3651.4155,3,4,4,11,Loyal Customers
251,26,4,4919.436,6,5,5,16,Champions
252,651,1,621.4639999999999,2,2,1,5,At Risk
253,36,4,2869.17,6,5,3,14,Champions
254,630,4,3153.9900000000002,2,5,4,11,Loyal Customers
255,574,3,3304.0485,2,4,4,10,Loyal Customers
256,169,3,2515.953,4,4,3,11,Loyal Customers
257,252,3,5615.227,4,4,5,13,Champions
258,429,3,2523.58,3,4,3,10,Loyal Customers
259,321,4,1411.5324999999998,3,5,2,10,Loyal Customers
260,41,4,5301.951,6,5,5,16,Champions
261,716,2,1893.001,2,3,2,7,Potential Loyalists
262,1459,0,0.0,1,1,1,3,Lost Customers
263,59,4,3901.3199999999997,6,5,4,15,Champions
264,19,3,5413.5395,6,4,5,15,Champions
265,18,3,3810.4890000000005,6,4,4,14,Champions
266,187,3,3203.93,4,4,4,12,Champions
267,108,3,1203.9415,5,4,2,11,Loyal Customers
268,869,1,329.441,2,2,1,5,At Risk
269,84,5,4094.85,5,5,4,14,Champions
270,1040,2,3663.5550000000003,2,3,4,9,Loyal Customers
271,439,1,737.877,3,2,1,6,At Risk
272,554,2,2826.14,2,3,3,8,Potential Loyalists
273,353,3,3124.6575,3,4,3,10,Loyal Customers
274,7,4,1810.281,6,5,2,13,Champions
275,228,2,3959.268,4,3,4,11,Loyal Customers
276,13,4,11516.446,6,5,5,16,Champions
277,207,4,7247.340000000001,4,5,5,14,Champions
278,334,3,2073.8005,3,4,2,9,Loyal Customers
279,184,2,944.7985,4,3,1,8,Potential Loyalists
280,1459,0,0.0,1,1,1,3,Lost Customers
281,20,2,4900.442,6,3,5,14,Champions
282,46,4,9568.1715,6,5,5,16,Champions
283,100,2,1026.328,5,3,1,9,Loyal Customers
284,3,4,6570.412,6,5,5,16,Champions
285,294,4,5059.821,3,5,5,13,Champions
286,272,4,5195.7025,3,5,5,13,Champions
287,369,2,2060.035,3,3,2,8,Potential Loyalists
288,48,3,2843.438,6,4,3,13,Champions
289,916,1,1087.536,2,2,1,5,At Risk
290,45,2,3230.9855,6,3,4,13,Champions
291,1,2,3327.126,6,3,4,13,Champions
292,160,3,4441.182000000001,4,4,4,12,Champions
293,39,5,4957.705,6,5,5,16,Champions
294,172,1,2957.3799999999997,4,2,3,9,Loyal Customers
295,740,4,6600.992,2,5,5,12,Champions
296,824,3,5238.7695,2,4,5,11,Loyal Customers
297,766,1,-773.71,2,2,1,5,At Risk
298,337,2,4291.3815,3,3,4,10,Loyal Customers
299,193,1,2516.143,4,2,3,9,Loyal Customers
300,41,3,1982.87,6,4,2,12,Champions
301,1459,0,0.0,1,1,1,3,Lost Customers
302,222,3,1782.9450000000002,4,4,2,10,Loyal Customers
303,973,1,346.78,2,2,1,5,At Risk
304,161,2,1596.9099999999999,4,3,2,9,Loyal Customers
305,144,3,1601.158,4,4,2,10,Loyal Customers
306,299,4,7087.793000000001,3,5,5,13,Champions
307,182,5,2074.7145,4,5,2,11,Loyal Customers
308,557,2,4314.4395,2,3,4,9,Loyal Customers
309,4,5,6088.8175,6,5,5,16,Champions
310,34,3,2600.427,6,4,3,13,Champions
311,162,2,3996.165,4,3,4,11,Loyal Customers
312,1073,1,1292.831,2,2,2,6,At Risk
313,56,3,2874.278,6,4,3,13,Champions
314,216,3,3233.88,4,4,4,12,Champions
315,993,1,2225.8455000000004,2,2,3,7,Potential Loyalists
316,44,3,4222.8,6,4,4,14,Champions
317,129,2,589.85,5,3,1,9,Loyal Customers
318,233,2,4266.267,4,3,4,11,Loyal Customers
319,326,3,2869.679,3,4,3,10,Loyal Customers
320,736,1,400.8335,2,2,1,5,At Risk
321,665,1,727.2629999999999,2,2,1,5,At Risk
322,1459,0,0.0,1,1,1,3,Lost Customers
323,1013,1,1317.7855,2,2,2,6,At Risk
324,119,4,1789.727,5,5,2,12,Champions
325,3,8,7429.987999999999,6,5,5,16,Champions
326,230,3,2881.052,4,4,3,11,Loyal Customers
327,761,2,1621.276,2,3,2,7,Potential Loyalists
328,128,3,4299.982,5,4,4,13,Champions
329,463,3,4908.095,3,4,5,12,Champions
330,130,2,5581.147499999999,5,3,5,13,Champions
331,1459,0,0.0,1,1,1,3,Lost Customers
332,273,3,2406.346,3,4,3,10,Loyal Customers
333,1,5,4865.826,6,5,5,16,Champions
334,32,4,2379.84,6,5,3,14,Champions
335,26,3,1298.857,6,4,2,12,Champions
336,190,2,1243.67,4,3,2,9,Loyal Customers
337,29,1,1878.6599999999999,6,2,2,10,Loyal Customers
338,60,1,540.056,6,2,1,9,Loyal Customers
339,236,3,3155.086,4,4,4,12,Champions
340,1085,1,430.39,2,2,1,5,At Risk
341,2,5,5500.5199999999995,6,5,5,16,Champions
342,930,2,839.0799999999999,2,3,1,6,At Risk
343,680,1,1719.498,2,2,2,6,At Risk
344,26,3,1661.4699999999998,6,4,2,12,Champions
345,275,5,4421.9645,3,5,4,12,Champions
346,374,2,1015.0,3,3,1,7,Potential Loyalists
347,317,4,4586.2655,3,5,5,13,Champions
348,943,1,650.2219999999999,2,2,1,5,At Risk
349,108,3,3782.1565,5,4,4,13,Champions
350,238,3,3541.9675,4,4,4,12,Champions
351,40,2,2798.16,6,3,3,12,Champions
352,52,2,3112.122,6,3,3,12,Champions
353,287,3,2800.9655000000002,3,4,3,10,Loyal Customers
354,81,9,11169.271,5,5,5,15,Champions
355,66,4,6666.773,5,5,5,15,Champions
356,333,2,852.4159999999999,3,3,1,7,Potential Loyalists
357,170,2,2269.652,4,3,3,10,Loyal Customers
358,62,2,2488.7400000000002,5,3,3,11,Loyal Customers
359,1459,0,0.0,1,1,1,3,Lost Customers
360,105,4,5877.701,5,5,5,15,Champions
361,875,1,962.51,2,2,1,5,At Risk
362,296,6,9404.919,3,5,5,13,Champions
363,371,3,3701.407,3,4,4,11,Loyal Customers
364,637,2,1781.2399999999998,2,3,2,7,Potential Loyalists
365,32,4,2228.3395,6,5,3,14,Champions
366,339,2,1858.1909999999998,3,3,2,8,Potential Loyalists
367,1022,1,453.006,2,2,1,5,At Risk
368,428,3,1907.3365000000001,3,4,2,9,Loyal Customers
369,1459,0,0.0,1,1,1,3,Lost Customers
370,63,5,4460.3895,5,5,4,14,Champions
371,386,1,986.3038750000001,3,2,1,6,At Risk
372,1459,0,0.0,1,1,1,3,Lost Customers
373,70,4,4232.51,5,5,4,14,Champions
374,584,1,57.85,2,2,1,5,At Risk
375,171,4,1558.354,4,5,2,11,Loyal Customers
376,982,1,1512.03,2,2,2,6,At Risk
377,1459,0,0.0,1,1,1,3,Lost Customers
378,1459,0,0.0,1,1,1,3,Lost Customers
379,21,1,1716.31,6,2,2,10,Loyal Customers
380,518,1,599.32,2,2,1,5,At Risk
381,711,2,2004.087,2,3,2,7,Potential Loyalists
382,247,3,3336.868,4,4,4,12,Champions
383,18,5,2555.665,6,5,3,14,Champions
384,22,4,5276.45,6,5,5,16,Champions
385,75,4,2361.2619999999997,5,5,3,13,Champions
386,946,1,510.705,2,2,1,5,At Risk
387,57,4,3434.5125,6,5,4,15,Champions
388,843,2,896.4075,2,3,1,6,At Risk
389,68,3,1715.531,5,4,2,11,Loyal Customers
390,475,4,4172.1615,2,5,4,11,Loyal Customers
391,54,3,2557.2960000000003,6,4,3,13,Champions
392,789,2,4296.8615,2,3,4,9,Loyal Customers
393,482,3,1389.9235,2,4,2,8,Potential Loyalists
394,382,1,1948.78,3,2,2,7,Potential Loyalists
395,1459,0,0.0,1,1,1,3,Lost Customers
396,267,5,2761.447,4,5,3,12,Champions
397,112,1,1598.1899999999998,5,2,2,9,Loyal Customers
398,130,3,1990.5469999999998,5,4,2,11,Loyal Customers
399,112,1,2005.188,5,2,2,9,Loyal Customers
400,230,5,5474.891,4,5,5,14,Champions
401,452,1,1277.44,3,2,2,7,Potential Loyalists
402,161,2,946.96,4,3,1,8,Potential Loyalists
403,203,2,1953.747,4,3,2,9,Loyal Customers
404,114,2,2864.27,5,3,3,11,Loyal Customers
405,88,5,4798.8585,5,5,5,15,Champions
406,325,3,2750.9339999999997,3,4,3,10,Loyal Customers
407,81,3,2896.67,5,4,3,12,Champions
408,240,2,2787.1285,4,3,3,10,Loyal Customers
409,182,3,2505.034,4,4,3,11,Loyal Customers
410,1459,2,3897.3275,1,3,4,8,Potential Loyalists
411,82,3,2064.322,5,4,2,11,Loyal Customers
412,43,3,2159.272,6,4,3,13,Champions
413,153,5,5108.6545,4,5,5,14,Champions
414,431,2,1963.8325,3,3,2,8,Potential Loyalists
415,1459,0,0.0,1,1,1,3,Lost Customers
416,408,3,3308.7015,3,4,4,11,Loyal Customers
417,74,4,3315.232,5,5,4,14,Champions
418,1459,0,0.0,1,1,1,3,Lost Customers
419,107,1,1426.6060000000002,5,2,2,9,Loyal Customers
420,38,4,5150.894,6,5,5,16,Champions
421,227,4,1985.4615,4,5,2,11,Loyal Customers
422,365,2,1667.239,3,3,2,8,Potential Loyalists
423,784,1,2832.109625,2,2,3,7,Potential Loyalists
424,744,1,464.10299999999995,2,2,1,5,At Risk
425,264,2,2409.046,4,3,3,10,Loyal Customers
426,73,4,5731.747,5,5,5,15,Champions
427,46,3,1422.762,6,4,2,12,Champions
428,1459,0,0.0,1,1,1,3,Lost Customers
429,331,3,3631.12,3,4,4,11,Loyal Customers
430,291,3,3568.853,3,4,4,11,Loyal Customers
431,232,2,2503.007,4,3,3,10,Loyal Customers
432,21,7,4464.466,6,5,4,15,Champions
433,1459,0,0.0,1,1,1,3,Lost Customers
434,153,1,919.5085,4,2,1,7,Potential Loyalists
435,1459,0,0.0,1,1,1,3,Lost Customers
436,180,2,4645.973,4,3,5,12,Champions
437,155,3,3348.264,4,4,4,12,Champions
438,83,2,691.4465000000001,5,3,1,9,Loyal Customers
439,394,2,4575.6515,3,3,5,11,Loyal Customers
440,532,1,1544.466,2,2,2,6,At Risk
441,440,6,4625.993,3,5,5,13,Champions
442,22,4,3632.686,6,5,4,15,Champions
443,159,3,4080.3684999999996,4,4,4,12,Champions
444,42,3,1144.4075,6,4,1,11,Loyal Customers
445,221,2,1146.8004999999998,4,3,1,8,Potential Loyalists
446,234,2,1900.756,4,3,2,9,Loyal Customers
447,341,3,3290.999,3,4,4,11,Loyal Customers
448,96,5,6907.6835,5,5,5,15,Champions
449,84,4,5304.5755,5,5,5,15,Champions
450,72,2,3158.636,5,3,4,12,Champions
451,176,2,2190.148,4,3,3,10,Loyal Customers
452,814,2,1369.1775,2,3,2,7,Potential Loyalists
453,244,3,3195.9865,4,4,4,12,Champions
454,151,4,4934.116,4,5,5,14,Champions
455,1459,0,0.0,1,1,1,3,Lost Customers
456,186,1,148.68,4,2,1,7,Potential Loyalists
457,270,1,669.1800000000001,3,2,1,6,At Risk
458,789,1,22.600499999999997,2,2,1,5,At Risk
459,245,3,4867.496499999999,4,4,5,13,Champions
460,925,1,2872.957,2,2,3,7,Potential Loyalists
461,250,3,4199.034,4,4,4,12,Champions
462,146,3,4642.833,4,4,5,13,Champions
463,207,3,828.1339999999999,4,4,1,9,Loyal Customers
464,287,1,723.46,3,2,1,6,At Risk
465,92,2,1993.0865,5,3,2,10,Loyal Customers
466,50,6,2540.585,6,5,3,14,Champions
467,1459,0,0.0,1,1,1,3,Lost Customers
468,56,2,2083.3685,6,3,2,11,Loyal Customers
469,17,5,4180.5375,6,5,4,15,Champions
470,17,1,62.7,6,2,1,9,Loyal Customers
471,64,4,3657.336,5,5,4,14,Champions
472,105,3,1275.1685,5,4,2,11,Loyal Customers
473,117,3,3016.772,5,4,3,12,Champions
474,584,2,3009.5438750000003,2,3,3,8,Potential Loyalists
475,44,5,4589.1135,6,5,5,16,Champions
476,1459,0,0.0,1,1,1,3,Lost Customers
477,30,4,1443.9894999999997,6,5,2,13,Champions
478,415,4,2787.8255,3,5,3,11,Loyal Customers
479,100,1,992.3275,5,2,1,8,Potential Loyalists
480,57,2,1744.3964999999998,6,3,2,11,Loyal Customers
481,881,1,475.44,2,2,1,5,At Risk
482,70,6,7532.6025,5,5,5,15,Champions
483,71,4,3307.172,5,5,4,14,Champions
484,293,2,3661.402,3,3,4,10,Loyal Customers
485,174,2,1588.8685,4,3,2,9,Loyal Customers
486,557,4,1971.5280000000002,2,5,2,9,Loyal Customers
487,3,3,2870.568,6,4,3,13,Champions
488,286,3,1581.211,3,4,2,9,Loyal Customers
489,77,2,1095.7160000000001,5,3,1,9,Loyal Customers
490,292,2,864.9845,3,3,1,7,Potential Loyalists
491,27,2,1241.553,6,3,2,11,Loyal Customers
492,372,1,1316.68,3,2,2,7,Potential Loyalists
493,141,2,496.304,4,3,1,8,Potential Loyalists
494,9,4,2872.3635,6,5,3,14,Champions
495,616,3,3625.924,2,4,4,10,Loyal Customers
496,321,2,1818.0765000000001,3,3,2,8,Potential Loyalists
497,701,2,700.06,2,3,1,6,At Risk
498,45,3,2718.2975,6,4,3,13,Champions
499,1459,0,0.0,1,1,1,3,Lost Customers
500,23,3,3423.1035,6,4,4,14,Champions
501,343,3,2842.57,3,4,3,10,Loyal Customers
502,699,1,82.62,2,2,1,5,At Risk
503,775,1,-247.06,2,2,1,5,At Risk
504,195,5,5336.644,4,5,5,14,Champions
505,111,2,1215.884,5,3,2,10,Loyal Customers
506,190,3,4865.5985,4,4,5,13,Champions
507,390,1,286.08,3,2,1,6,At Risk
508,53,1,226.692,6,2,1,9,Loyal Customers
509,1003,1,25.36200000000005,2,2,1,5,At Risk
510,241,3,578.8039999999999,4,4,1,9,Loyal Customers
511,128,2,2330.545,5,3,3,11,Loyal Customers
512,217,2,2948.531,4,3,3,10,Loyal Customers
513,323,3,4226.525,3,4,4,11,Loyal Customers
514,530,3,935.1395,2,4,1,7,Potential Loyalists
515,47,2,1143.8355,6,3,1,10,Loyal Customers
516,280,3,1467.28,3,4,2,9,Loyal Customers
517,23,2,1316.6395000000002,6,3,2,11,Loyal Customers
518,54,2,3450.6215,6,3,4,13,Champions
519,549,3,7039.569875,2,4,5,11,Loyal Customers
520,109,2,862.766,5,3,1,9,Loyal Customers
521,181,3,5117.1179999999995,4,4,5,13,Champions
522,590,2,1283.0956250000002,2,3,2,7,Potential Loyalists
523,390,3,2095.174,3,4,3,10,Loyal Customers
524,416,2,1369.8894999999998,3,3,2,8,Potential Loyalists
525,199,3,2634.042,4,4,3,11,Loyal Customers
526,349,2,2342.2485,3,3,3,9,Loyal Customers
527,501,3,875.1479999999999,2,4,1,7,Potential Loyalists
528,40,7,6516.228,6,5,5,16,Champions
529,14,3,4438.6995,6,4,4,14,Champions
530,7,3,2858.8445,6,4,3,13,Champions
531,408,3,5176.8695,3,4,5,12,Champions
532,30,10,8703.432,6,5,5,16,Champions
533,474,1,372.8,2,2,1,5,At Risk
534,685,2,1275.953,2,3,2,7,Potential Loyalists
